country_name,country_code,period,pop_growth,pop_growth_instr,investment_instr,trade_instr,govt_instr,fertility,life_expectancy,trade_to_gdp,inflation,domestic_investment,govt_consumption,near_coast,tropical,colony_esp_prt,ethnic,language,religion,legal_origin,allstpi1980,allstpi1990,allstpi2000,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,catholic,orthodox,protestant,hindu,jewish,muslim,eastern,non-religious,other,catholic_1900,protestant_1900,orthodox_1900,muslim_1900,jewish_1900,hindu_1900,eastern_1900,non-religious_1900,other_1900,avexpr,rgdppw,ln_rgdppw,log_income,initial_gdp,initial_gdp_instr,initial_hc,initial_hc_instr,cum_inflation,growth,hc_growth,phys_capital,pc_growth,period_1,period_2,period_3
Albania,ALB,1985-1994,0.05955102112287163,0.08254774125970571,35.95094850338947,42.14438249884035,9.256479225037332,2.9234999999999998,72.9786,49.46095231795191,NA,23.444874210758694,14.09200994487596,94.6919,0,0,0.220426,0.03992479999999998,0.4718516,NA,NA,NA,NA,10903.7970703125,11470.33310546875,3.1751752,1.2092671751976014,NA,2.436419725418091,10946.83125,12090.1658203125,10243.245068359374,10695.4693359375,55528.184765625,NA,NA,NA,13707.188671875,11442.52255859375,13868.84267578125,98337.9296875,NA,NA,NA,NA,NA,0.02903614640235901,24.931944379597606,0.1393268690406167,0.114199335041833,0.0014015804652596597,0,9.486910275738876e-5,0.642966915726179,0,0.1250574820657904,0.0028329174549500003,0.083125,0,0.2,0.685,0.00125,0,0,0.00125,0,NA,9028.872686455554,9.102721743048345,9.287467371663542,9.137552801063302,9.1811288682247,2.255577564239502,1.8810572624206543,NA,0.13687090149771705,0.11477311428540624,82213.42932752376,0.2879583180070178,FALSE,TRUE,FALSE
Albania,ALB,1995-2004,-0.002584055695330691,-0.042468320089054615,16.24532963571614,60.92074468109192,17.760182459084252,2.2797,75.2482,56.96180747561943,8.842342126479545,26.462170594682398,10.958654355386491,94.6919,0,0,0.220426,0.03992479999999998,0.4718516,NA,NA,NA,NA,15096.1646484375,16343.8482421875,3.1152816,0.9823205828666687,NA,2.7308962821960447,16201.137109375,18654.8189453125,14633.46064453125,15750.31259765625,64545.584765625,NA,NA,NA,17054.30185546875,16154.19453125,19995.1259765625,112514.959375,NA,NA,NA,NA,NA,0.026900306902825834,128.64453170711724,0.15146196441254298,0.12206082928454252,0.001536759668386748,0,9.585106316113664e-5,0.6850277496684496,0,0.0654901603384014,0.003147686061055556,0.083125,0,0.2,0.685,0.00125,0,0,0.00125,0,NA,15364.424266050331,9.63205399766205,9.613954119563664,9.389198052974125,9.112425029149334,2.5140318870544434,2.5161588191986084,1.2394357155338729,0.5327951734368772,0.13655473780263555,114503.67957310748,0.28154529620576035,FALSE,FALSE,TRUE
Algeria,DZA,1985-1994,0.25777462427616304,0.13224192597259404,36.77564720994577,57.88524495677548,15.90852698397055,4.7916,66.6574,44.80969584366266,16.930762882061483,30.37534826951659,17.52663713444545,4.17952,0,0,0.3393999999999998,0.44266190000000005,0.0091285,NA,NA,NA,NA,246223.278125,250667.175,25.389479499999997,4.721810150146484,NA,1.5111128568649292,152471.8609375,243006.5390625,237965.7453125,239768.0703125,1141570.54375,NA,NA,NA,214291.86875,154108.359375,194809.60625,881739.025,NA,NA,NA,NA,NA,0.03947949595749378,13.577354916666668,6.554067946587039e-4,6.928730127003382e-5,3.63957789669146e-4,0,8.76925607338628e-6,0.9870103167694235,3.72608975428162e-4,0.010220895742977625,9.778022522120704e-5,0.11826086956521739,0.0028478260869565218,4.347826086956522e-5,0.8658695652173913,0.010869565217391304,0,0,8.695652173913044e-4,0,6.5,52764.84737435059,10.861405030761754,12.410235267258498,11.220906136617131,11.198802864454402,1.376563310623169,1.252472996711731,3.644535615074406,-0.42435251405394264,0.21560015414658648,186966.66558032893,-0.03375184438882337,FALSE,TRUE,FALSE
Algeria,DZA,1995-2004,0.1368108844265997,0.0953032914605063,30.211307401097134,49.830940165186334,16.461039035202532,2.7347,70.0437,55.0268355397713,7.600210559414168,28.27509536295371,15.7260072804481,4.17952,0,0,0.3393999999999998,0.44266190000000005,0.0091285,NA,NA,NA,NA,304127.4859375,291889.515625,30.788850699999998,6.419773197174072,NA,1.8482642889022827,180493.6265625,259866.596875,288971.9015625,277527.8953125,1417739.9375,NA,NA,NA,263010.2015625,168119.053125,205300.846875,1063118.49375,NA,NA,NA,NA,NA,0.035950475558638575,66.70441808333334,1.1210536110257865e-4,5.52403228621402e-5,3.675106185710622e-4,0,1.6897039934301708e-6,0.9865831004060132,4.140099726979578e-4,0.011163256892749385,1.030069549841085e-4,0.11826086956521739,0.0028478260869565218,4.347826086956522e-5,0.8658695652173913,0.010869565217391304,0,0,8.695652173913044e-4,0,6.5,47150.480950237026,10.757464342413034,12.611781573681881,10.652487067080228,10.83147077033639,1.7143430709838867,1.512947916984558,1.0170101841809394,0.15361256880642943,0.13485692741342853,166309.15302148892,-0.1518858200413137,FALSE,FALSE,TRUE
Angola,AGO,1985-1994,0.3555261058601,0.1526700489576611,NA,NA,NA,7.2669,42.3156,NA,NA,NA,NA,13.1587,44.346,1,0.78672,0.7870192,0.6276435,NA,NA,NA,NA,34476.1853515625,33710.1607421875,11.682763399999999,6.592373895645141,NA,1.1382749319076537,21398.1294921875,32926.667578125,35315.0935546875,35742.2568359375,197786.909375,0.005707538034766912,0.3209947869181633,0.2919339627027512,65767.412890625,55828.6236328125,80751.34375,493913.090625,0.3191421151161194,0.8934866070747376,1.2064145863056184,0.28438466787338257,0.20649764761328698,0.032253899797797206,6.266118966666667e-6,0.5590216126257423,0,0.27150452465946445,1.8006519677673537e-5,0,0.009509868697397887,9.189491586283132e-5,0.009071854345341652,0.09464019471848774,0.00393939393939394,3.367003367003367e-4,0,0,0,0,0,0,0.9942760942760943,5.363636493682861,5254.326589334838,8.563660517756093,10.446134891229974,8.715408965805262,8.721703119945735,1.0884875059127808,1.0410643815994263,NA,-0.2056095319827161,0.10165651888451242,75037.59212371122,-0.047999879082079984,FALSE,TRUE,FALSE
Angola,AGO,1995-2004,0.34513215509329875,0.1397119405124039,NA,NA,NA,6.6812000000000005,46.884,NA,811.4435600775248,NA,NA,13.1587,44.346,1,0.78672,0.7870192,0.6276435,NA,NA,NA,NA,46239.57265625,42895.86953125,16.2184232,8.929975938796996,NA,1.2837664842605592,23547.57109375,44173.315234375,45655.38125,43605.93515625,307351.75625,0.009760320093482733,0.182970629632473,0.1827729120850563,83240.321875,59248.5345703125,92246.28515625,742284.00625,0.5203282594680786,0.6911170780658722,0.839711719751358,0.2842282921075821,0.058746873307973145,0.03891381546854973,23.731962499708334,0.5719838683054876,0,0.2939045856969432,2.000724408630393e-5,0,0.010529666168152835,9.399744858839743e-5,0.009987701644656462,0.07322742832130316,0.00393939393939394,3.367003367003367e-4,0,0,0,0,0,0,0.9942760942760943,5.363636493682861,5197.560296942901,8.549612547012703,10.734406932084589,8.469118455217126,8.60265745204346,1.214911699295044,1.1380709409713745,1726054.9090777803,0.17528262815556592,0.10604196589718919,83214.31589469538,0.010024360970099492,FALSE,FALSE,TRUE
Antigua and Barbuda,ATG,1995-2004,0.1698849570409203,NA,NA,NA,NA,2.0481,74.61829999999999,NA,NA,NA,NA,100,100,0,0.16425600000000007,0.10632810000000004,0.6839913,NA,NA,NA,NA,1210.4340576171876,946.081640625,0.0749604,0.03408252950757742,NA,NA,1035.7292053222657,1226.3395141601563,1158.370166015625,864.2535705566406,1851.319970703125,NA,NA,NA,938.3378662109375,1369.6171142578125,1644.2547485351563,3918.1692138671874,NA,NA,NA,NA,NA,0.048700883612036706,2.7000000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35405.46461426807,10.470973062802113,7.090850651399506,10.34841611207111,NA,NA,NA,NA,0.32087552234473227,NA,114547.93370364708,0.3259714020285315,FALSE,FALSE,TRUE
Argentina,ARG,1985-1994,0.13854760210547418,0.06597828231527586,21.35745577189285,14.465602107720866,NA,3.0227,71.5081,16.115807511633662,NA,17.37505327170632,NA,13.0167,0,1,0.255,0.06175419999999998,0.2236207,2,5.097618579864502,5.430952548980713,5.403153419494629,228046.5921875,229600.7015625,32.3516501,11.679801845550537,1867.1328988023092,2.5160764932632445,188097.59453125,218374.17890625,221110.4703125,223456.2953125,740647.3375,0.014727106783539057,0.619580340385437,0.5877046287059784,505623.846875,381230.596875,428037.234375,1631196.7125,0.4768091171979904,0.9544831037521362,0.8019978761672973,0.4401057720184326,0.14375863820314408,0.029114662297070028,0.4473317468483333,0.8596999157015697,0.0045102525175121306,0.038331847961747365,1.31780361532241e-4,0.006869933924675159,0.018920697383410352,0.002571244918997031,0.04649560800536765,0.007191892616569278,0.9744761904761905,0.009761904761904762,7.142857142857143e-4,9.523809523809524e-4,0.0015476190476190477,0,2.380952380952381e-4,0.002380952380952381,0.01238095238095238,6.386363506317139,19287.4451110356,9.833083746730125,12.289552012449306,9.518860389128255,9.49157184865451,2.420576333999634,2.2500476837158203,NA,1.2571303994802827,0.07546554672073737,139790.6534371666,-0.01788011547459982,FALSE,TRUE,FALSE
Argentina,ARG,1995-2004,0.10519651190401325,0.05469327962091368,17.24841815529845,16.267302358390634,8.246577703857634,2.6152,73.8181,27.69116620032989,NA,17.3495622006899,12.68595397744466,13.0167,0,1,0.255,0.06175419999999998,0.2236207,2,5.097618579864502,5.430952548980713,5.403153419494629,512508.175,505349.3625,36.6670678,13.312992191314697,1829.7455192591724,2.671934628486633,398156.5,483303.803125,496973.821875,491288.159375,1800906.025,0.027203862369060517,0.7244730055332184,0.6911172091960907,650288.6375,500187.821875,566680.003125,2004669.2125,0.5977429449558258,1.0069677531719208,0.8730018913745881,0.3622240424156189,0.19478473216295242,0.03031922522932291,1.5884099152236653,0.8516197962308529,0.004442853014075185,0.040004505975515914,1.4642262392471222e-4,0.005419687217752723,0.020789989440198903,0.002808007191864945,0.05003073310527587,0.007288706731615585,0.9744761904761905,0.009761904761904762,7.142857142857143e-4,9.523809523809524e-4,0.0015476190476190477,0,2.380952380952381e-4,0.002380952380952381,0.01238095238095238,6.386363506317139,38627.28642950455,10.556311833816347,13.142947936943663,10.4854034280043,9.720458182338271,2.619534492492676,2.529029607772827,NA,-0.03383147638393029,0.0543614507308737,150743.7365511771,-0.0747923428495104,FALSE,FALSE,TRUE
Armenia,ARM,1995-2004,-0.0673312305662925,-0.07193094963471236,24.53016951874535,98.29928351477628,15.903689894172416,1.7164,70.5206,75.54991933240494,23.30118922768754,23.63404192759737,10.671582640450055,0,0,0,0.1271540000000001,0.12905350000000004,0.4575609,NA,NA,NA,NA,11091.89755859375,12256.90244140625,3.0889275,1.4256913781166076,NA,3.0751693487167358,11726.614453125,13376.79267578125,10902.62001953125,11989.5904296875,49866.571875,6.668431335128844e-4,0.29071287959814074,0.3118781954050064,14019.32080078125,16935.834765625,18253.36953125,42724.159375,0.45445782244205474,0.41629323065280915,0.5093609005212784,0.6986334443092346,0.038057548087090255,0.029499367624521256,513.0944665295455,0.07258902649594148,0.810753780231357,0.010635870403970557,1.0004661477918891e-4,1.7421366359025956e-4,0.0021615749672639272,1.0004661477918891e-4,0.0903165291841025,0.01463489455497088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8047.360800584673,8.952743339409778,9.300096406251784,8.630452735391081,9.467810794475692,3.0212996006011963,2.948580503463745,3.728693812043139,1.3106425512197373,0.025341042462154902,30559.49545740779,0.6489631576260965,FALSE,FALSE,TRUE
