"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4941135775374","23.9991775312859","26.629979781872","28.8817040907799","28.4513918843887","33.160442199198","34.5191296544988","31.746651038248","32.1030557196345","29.6421797785745","28.2831797071863","27.4166371579459","23.5225068320821","23.8258550178984","23.1114610175592","21.5389195724266","20.5750100127193","20.5511821265415","22.4017243113924","22.4385043629328","24.1787833025076","21.7881805535355","20.9175223741747","21.4610020896194",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3865340202086","19.4889414510843","18.8656186811749","17.6548123631166","19.0742417547713","18.6648935102226","18.7842912163021","18.0521954582676","17.6030675795515","18.2735110994474","19.5485824572237","19.2271578694779","20.2215724664549","21.2654175010625","23.4934647346848","23.2871443572266","21.4371827895197","22.3930115934834","22.662369751733","23.3495695036409","23.673370833902","23.5397385030387","21.5005332159477","20.9334490684004","20.9572070980896","21.5388071925572","20.3911038833038","20.1243744068217","21.3434223658137","19.8009417036855",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","13","16.7","15.2",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","26.4904004984611","26.4373618826197","26.256018224438","23.7932500575225",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.063790715967","16.6595085173425","19.7426022741446","19.7346920833014","30.7962585719445","34.9886697820033","35.2640615632586","33.8968627994889","34.1967461797911","36.8696756752052","35.6975187198863","34.4619700309054","35.7784238754261","34.5578458934766","30.3086698207955","31.4135814808892","28.3285499594466","28.0524964575465","25.6746926299268","25.8190485021686","25.2238259425092","25.0525380257711","27.1252966002737","25.2875354871838","26.2183538740289","28.7944313898395","26.9055648740379","22.9107180604133",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","17.8927870056483","17.8328838025517","19.5846732295794","18.7091928262201","18.2362781627192","10.9575851381828","25.258630947269","23.4612612402084","27.3498396728695","28.2810059878966","31.1366940626663","26.6526288128596","25.0977112907844","27.3667475824075","30.5091649946894","28.7229182025041","28.2296112054283","24.7075371533065","24.5175364569898","21.7503001016335","22.7336936484769","17.9893252060089","30.3489276634945","21.4238981954227","22.4451256304495","22.8370519787418","21.1628761687336","21.8424290645365","20.897402142961","18.6922674106362","22.247498766738","21.8955001612782","19.9302361615849","21.5626733288566","21.0731931547648","21.3130422267412","21.5840105825352","21.5035618123865","22.701887619991","25.5329472964012","26.5169749343156","28.3949242446096","27.0813421773064","24.7827532155257","24.0801448158402","24.9078883211587","25.8234414720254","27.9964877001934","27.893057381309","27.2077389948415","26.3687273062963","27.1309732553766","25.4153154795636","24.3791007347488","24.5938577875793","25.9688034530676",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","29.6463693604261","25.326445828973","23.9197807641817","21.6380023815866","22.7007895598472","22.3269675169666","21.6356185634683","21.2814632324792","21.8306207829513","24.0692780423757","23.3288630362103","25.8270196964687","26.5079604200761","27.078656324271",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.4151557410245","18.0762892471421","17.2797984562396","19.3715390134256",
