country,isocode,period,pop_growth,pop_growth_instr,growth_rate,ki_instr,openk_instr,kg_instr,enrollment_instr,pop,rgdpch,rgdpwok,gr_rgdpwok,kc,kg,ki,openk,life_expectancy,fertility,inflation,enrollment,near_coast,tropical,colony_esp_prt,yr_sch,avexpr,ethnic,language,religion,legal_origin,catholic,orthodox,protestant,hindu,jewish,muslim,eastern,non-religious,other,catholic_1900,protestant_1900,orthodox_1900,muslim_1900,jewish_1900,hindu_1900,eastern_1900,non-religious_1900,other_1900,formalism,ssa,east_asia,latam,period_1,period_2,period_3,french_origin,british_origin,initial_gdp,initial_gdp_instr,initial_hc,initial_hc_instr,cum_inflation,mortality
Afghanistan,AFG,1995-2004,3.689869084804006,3.8280868671918564,0.07010658988313924,3.10570734273865,38.53028679,7.632540030333333,NA,21901.8318,551.405184,2168.7859917,0.07010658988313924,93.732199898,9.40866316,3.1497269683733635,78.43654713,45.967,2.0235323472403195,NA,NA,0,0,0,2.0100000000000002,NA,0.7693445845406846,0.6141462,0.2716839,NA,5.321603427767574e-5,6.90785060335214e-6,7.13299536375769e-5,7.600170741599209e-4,1.0233852745706874e-7,0.9976571129216616,3.2901836577447596e-4,9.957538721572787e-5,9.00118518248648e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,7.781054816572476,8.323358502858873,1.86,1.49,NA,0.02175473709400222
Albania,ALB,1985-1994,2.7228890114106017,2.9127318265999236,-0.022698718745608873,3.8639956451198594,43.892281393333334,6.844534987166667,76.9414291381836,3105.553,3156.8982762,7395.3063331,-0.022698718745608873,72.634484699,8.3621254664,3.349981695992795,23.99450396,70.478,1.2848151921700368,NA,4.395981441327156,94.6919,0,0,7.29,NA,0.220426,0.03992479999999998,0.4718516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,9.052955846836412,9.060757396485943,6.75,4.95,NA,0.014188824881523314
Albania,ALB,1995-2004,1.8621168343057195,1.7711788634757932,0.05304335782251842,2.737422348956192,26.370252618333332,9.823302845666667,77.44019826253255,3148.6954,3472.9778568,7988.9897415,0.05304335782251842,87.768164996,10.0173415108,3.1067659367756337,45.719882855,73.144,1.0647107369924282,8.842342126479545,NA,94.6919,0,0,8.57,NA,0.220426,0.03992479999999998,0.4718516,NA,0.15146196441254298,0.12206082928454252,0.001536759668386748,0,9.585106316113664e-5,0.6850277496684496,0,0.0654901603384014,0.003147686061055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,8.850184138804385,8.948755202645243,7.82,7.83,1.2394357155338729,0.013671661380290932
Algeria,DZA,1975-1984,3.742880072758306,3.1070739065126793,0.025172935556831748,3.6427150503725905,91.14778273666667,9.619305757666666,NA,18611.1752,4784.2487998,22977.589555,0.025172935556831748,45.042493196,12.565643007,3.957709742851343,96.70548656,43.16,2.0327429386705957,10.332159797980236,3.369079240847145,4.17952,0,0,1.45,6.5,0.3393999999999998,0.44266190000000005,0.0091285,NA,0.005545119696663831,1.957101069410764e-4,3.3198232955189996e-4,0,7.248522479299126e-5,0.9908552640401163,0,0.0017396453950317902,5.0739657355093884e-5,0.11826086956521739,0.0028478260869565218,4.347826086956522e-5,0.8658695652173913,0.010869565217391304,0,0,8.695652173913044e-4,0,NA,0,0,0,1,0,0,NA,NA,9.900229401020297,9.894106371031738,1.18,0.78,1.660349954361331,0.023169601482854497
Algeria,DZA,1985-1994,3.5567638522693366,3.1560194425374477,-0.035691813211538206,3.9469211605751284,91.74708522,13.406545585,37.1212739944458,24779.5493,4966.0973364,21255.307535,-0.035691813211538206,41.648515427999996,12.213906234,3.5609612093717384,71.944382732,53.261,1.9390293879630909,16.930762882061483,4.022416248088637,4.17952,0,0,2.945,6.5,0.3393999999999998,0.44266190000000005,0.0091285,NA,6.554067946587039e-4,6.928730127003382e-5,3.63957789669146e-4,0,8.76925607338628e-6,0.9870103167694235,3.72608975428162e-4,0.010220895742977625,9.778022522120704e-5,0.11826086956521739,0.0028478260869565218,4.347826086956522e-5,0.8658695652173913,0.010869565217391304,0,0,8.695652173913044e-4,0,NA,0,0,0,0,1,0,NA,NA,10.115443408721646,10.06948053200317,2.51,1.72,3.644535615074406,0.01877546422335292
Algeria,DZA,1995-2004,3.1980321527233717,2.9803774140331716,0.010709378330355207,3.398360140274492,67.85188133166666,12.694219156666666,60.0297311147054,30180.6725,5045.6385764,17642.173431,0.010709378330355207,34.887724295,13.317243815,3.322941490677677,66.761026669,67.416,1.5164450455849356,7.600210559414168,NA,4.17952,0,0,4.505,6.5,0.3393999999999998,0.44266190000000005,0.0091285,NA,1.1210536110257865e-4,5.52403228621402e-5,3.675106185710622e-4,0,1.6897039934301708e-6,0.9865831004060132,4.140099726979578e-4,0.011163256892749385,1.030069549841085e-4,0.11826086956521739,0.0028478260869565218,4.347826086956522e-5,0.8658695652173913,0.010869565217391304,0,0,8.695652173913044e-4,0,NA,0,0,0,0,0,1,NA,NA,9.749443885732772,9.95569383180112,4.17,3.38,1.0170101841809394,0.014833274000237333
Angola,AGO,1985-1994,3.4317655493773676,3.0141437502834556,-0.007029825748693168,3.0824860804169503,86.22424825833333,37.792096613333335,10.47289991378784,8306.2763,1859.4502324,4967.4213165,-0.007029825748693168,25.177877367,41.09495565,3.253449112063052,87.263725788,42.449,2.009421356973026,NA,NA,13.1587,44.346,1,NA,5.363636493682861,0.78672,0.7870192,0.6276435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,NA,NA,8.545533383492765,8.572813006998482,NA,NA,NA,0.023557680981884144
Angola,AGO,1995-2004,3.431925427267152,3.0230850082929965,0.050700021446826296,3.603574385415614,104.87238323166666,38.46620238,NA,10330.4307,2361.6048898999998,6332.7716452,0.050700021446826296,30.185067975,26.73795105,3.4538417921960662,125.80534933,41.893,1.9840313568751777,811.4435600775248,NA,13.1587,44.346,1,NA,5.363636493682861,0.78672,0.7870192,0.6276435,NA,0.5719838683054876,0,0.2939045856969432,2.000724408630393e-5,0,0.010529666168152835,9.399744858839743e-5,0.009987701644656462,0.07322742832130316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,8.543026102886945,8.535203381491485,NA,NA,1726054.9090777803,0.023870336333038932
Argentina,ARG,1975-1984,3.254501266438672,2.83485577427202,-0.005061616621103447,3.226098685031082,13.389048166666667,7.7837480249999995,49.15234820048015,28151.1161,8009.1237071,19994.659241,-0.005061616621103447,66.017109193,8.3803350964,3.177943484760095,17.682804332,65.589,1.1275236321625297,NA,4.047039480798727,13.0167,0,1,6.574999999999999,6.386363506317139,0.255,0.06175419999999998,0.2236207,2,0.9324209909380201,0.00511684804844464,0.023277925837830393,0,0.019922154286977082,0.002097068872313377,4.403844631858092e-4,0.014679482106193638,0.006320565581152518,0.9744761904761905,0.009761904761904762,7.142857142857143e-4,9.523809523809524e-4,0.0015476190476190477,0,2.380952380952381e-4,0.002380952380952381,0.01238095238095238,5.097618579864502,0,0,1,1,0,0,0,0,9.901037693580776,9.834640946780395,6.43,5.92,NA,0.015246459009894952
Argentina,ARG,1985-1994,3.1617677833640987,2.8069446365042277,0.010847181092867123,3.0353937071238377,19.583647446666667,8.4666908495,61.047241210937486,32787.3197,7558.3983348,18704.280526,0.010847181092867123,71.306642406,7.1072918268,2.938136282414588,22.91513175,68.564,1.194225452871056,NA,NA,13.0167,0,1,7.665,6.386363506317139,0.255,0.06175419999999998,0.2236207,2,0.8596999157015697,0.0045102525175121306,0.038331847961747365,1.31780361532241e-4,0.006869933924675159,0.018920697383410352,0.002571244918997031,0.04649560800536765,0.007191892616569278,0.9744761904761905,0.009761904761904762,7.142857142857143e-4,9.523809523809524e-4,0.0015476190476190477,0,2.380952380952381e-4,0.002380952380952381,0.01238095238095238,5.430952548980713,0,0,1,0,1,0,0,0,9.761580536960604,9.967995948844951,7.45,6.72,NA,0.01458491336561461
