countrycode,period,country,region,year,pop,hc,rgdpna,rnna,rtfpna,rgdppw,gv,inv,opres,cpi,yinit,gy,gh,pc,gk,gtfp,gpop,kkz96,kgatrstr,lang
ABW,1970-1979,NA,NA,1974.5,0.0600806,NA,400.2103973388672,983.3060119628906,NA,6654.804716444728,NA,NA,NA,NA,8.398672257549242,1.1543635909219223,NA,9.70194097699884,1.3065123188774266,NA,0.01552579449062867,NA,NA,NA
ABW,1980-1989,NA,NA,1984.5,0.061665899999999996,NA,1008.2583679199219,2481.8365966796873,NA,16349.3213094859,NA,NA,NA,NA,9.251224667215203,1.5626942116346911,NA,10.602327489756295,1.3050716613585684,NA,0.015575079872204462,NA,NA,NA
ABW,1990-1999,NA,NA,1994.5,0.07694669999999999,NA,2233.6600341796875,6214.732592773437,NA,28932.31567138553,NA,NA,NA,NA,10.21299694000254,0.11894432352612516,NA,11.285727635464509,0.4783787394237442,NA,0.43212280165408945,NA,NA,NA
ABW,2000-2009,NA,NA,2004.5,0.09793969999999999,NA,2918.701708984375,11782.95361328125,NA,29813.873115789487,NA,NA,NA,NA,10.34898383136292,-0.12164599002953275,NA,11.693467547648613,0.46597173199734665,NA,0.11669400019812226,NA,NA,NA
ABW,2010-2019,NA,NA,2014.5,0.10399459999999999,NA,2878.441650390625,16467.470703125,NA,27662.495501354086,NA,NA,NA,NA,10.184031265918179,0.0901936381455597,NA,11.972202992321638,0.08895589313099686,NA,0.045687476025140374,NA,NA,NA
AGO,1970-1979,Angola,Sub-Saharan Africa,1974.5,6.9124054,1.027054536342621,58346.186328125,332158.421875,NA,8534.208727176869,NA,NA,NA,NA,9.127801654472556,-0.25387320857229645,0.02246017987861773,10.776315462773754,0.1327446947130635,NA,0.3680080945747843,-1.4593454258626097,0.8417096,0.787
AGO,1980-1989,Angola,Sub-Saharan Africa,1984.5,9.832172,1.0840044498443604,62037.574609375,450731.06875,0.9346184492111206,6309.756209515936,NA,NA,NA,NA,8.824114467965863,-0.06886011514796478,0.08348416784408619,10.738693010293064,-0.16412777507437187,0.06314747937274562,0.3732622140295104,-1.4593454258626097,0.8417096,0.787
AGO,1990-1999,Angola,Sub-Saharan Africa,1994.5,13.7777414,1.2078501343727113,67932.55859375,605956.690625,0.7370319128036499,4953.9822809722655,NA,NA,NA,NA,8.71452755595708,-0.18030120300161198,0.12480109891963102,10.684912701012449,0.23306871072287025,-0.36254303854054865,0.3391586837228294,-1.4593454258626097,0.8417096,0.787
AGO,2010-2019,Angola,Sub-Saharan Africa,2014.5,27.4821116,1.449343740940094,220192.6046875,1188221.51875,1.0404273629188538,8050.078603809525,15.504118284570351,3.1945985451597756,23.42398165431698,16.089299018509788,9.002292375451534,-0.14053132302835747,0.045762398053865935,10.676003346492397,-0.058296069769858475,-0.12842186402884234,0.3626031768975202,-1.4593454258626097,0.8417096,0.787
AIA,1970-1979,NA,NA,1974.5,0.0070903,NA,30.637246513366698,248.08239288330077,NA,4313.759669582736,NA,NA,NA,NA,8.273129156028524,0.2999205555340856,NA,10.458582765703566,0.7618144396980805,NA,0.07694579825727363,NA,NA,NA
AIA,1980-1989,NA,NA,1984.5,0.0075496,NA,50.16060791015625,465.0645294189453,NA,6575.855305185529,NA,NA,NA,NA,8.583955787501967,0.6064563083851913,NA,11.022595226893744,0.4751947823011781,NA,0.17803706245710357,NA,NA,NA
AIA,1990-1999,NA,NA,1994.5,0.0098549,NA,111.35297164916992,811.00078125,NA,11226.15919012802,NA,NA,NA,NA,9.248878682504943,0.25653631159269485,NA,11.313524771155121,0.26496766361944163,NA,0.23283515001685595,NA,NA,NA
AIA,2000-2009,NA,NA,2004.5,0.0123065,NA,193.18451080322265,1423.7101440429688,NA,15571.03100035269,NA,NA,NA,NA,9.466455462526856,0.24831446114106678,NA,11.651374049062616,0.4898785512082428,NA,0.17827941699253458,NA,NA,NA
AIA,2010-2019,NA,NA,2014.5,0.014181099999999999,NA,207.40966796875,2060.5244995117187,NA,14633.383737489052,NA,NA,NA,NA,9.628085437923529,-0.010337160468820585,NA,11.88602931456583,0.04298571014029761,NA,0.10648906087215361,NA,NA,NA
ALB,1970-1979,Albania,Europe & Central Asia,1974.5,2.3867843,1.6948582768440246,10912.910546875,53155.18359375,NA,4557.892111968435,NA,NA,NA,NA,8.34853648803758,0.16701253945482894,0.18328355547153455,10.006042990217843,0.2777860913666589,NA,0.22169361051970357,-0.09541281279756968,0,0.0399
ALB,1980-1989,Albania,Europe & Central Asia,1984.5,2.9556682,2.1914799094200133,14927.4439453125,85374.0453125,NA,5053.603239382821,9.408544389379914,3.5279499318186396,-56.984613899399726,NA,8.514000286514078,0.033319491259996774,0.3086996937536234,10.267311376661146,0.21499487556586702,NA,0.21442470058038748,-0.09541281279756968,0,0.0399
ALB,1990-1999,Albania,Europe & Central Asia,1994.5,3.1698839,2.57396457195282,13128.73369140625,103671.209375,NA,4150.234364526033,14.836268731323685,2.8096384366856673,-40.66707920582463,NA,8.433134730308389,0.13004773610570397,0.09073405261838806,10.395957062163692,0.07243192104395453,NA,-0.049717702558646736,-0.09541281279756968,0,0.0399
ALB,2000-2009,Albania,Europe & Central Asia,2004.5,3.0767604,2.856853699684143,22840.4693359375,135820.29375,NA,7446.254224993847,10.748222372577645,3.5745783306997967,-24.949081460133396,2.694993977804113,8.620456694135573,0.7459560480146463,0.03441345478167081,10.697845527725534,0.5924710266580404,NA,-0.049914627914802355,-0.09541281279756968,0,0.0399
