"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.362098138748","175.344129554656","168.781911013858","163.267359946327","164.559014267185","145.072879516204","140.391108618306","133.230771421249","132.794291274023","132.430929795173","145.050280144237","141.042626734626","139.972309491093","139.110149824701","137.556575933708","135.464654677581","154.437786862887","156.645197205944","161.891280319633","162.88205210123","145.833663297637","142.239763387132","143.804295515015","145.213552350892","145.343572735289","124.137265493419","147.015576101595","172.884171078304","169.798282934344",
"Africa Eastern and Southern","AFE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2304388144148","39.7347280580705","40.409427247211","42.8268660661545","45.3429548605598","47.4089364062242","47.101501917544","44.9825563956835","46.586205637567","44.824936211974","46.4662178022745","47.8537819872049","59.4248200763606","56.7923043760341","57.8340561839181","60.351366443884","60.8634263148316","66.8260113985661","74.4161999428253","63.796923120239","63.4781770103875","64.638370313422","62.4450360158054","62.4828748708981","60.8734466432495","55.4456452438504","52.7427100952737","51.74461834197","55.4297878044482","52.4606899012176","50.2653259252077","55.5623957956905","58.5361627735347","56.8723924609556",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7098945514103","51.4117163747271","72.8854696086536","67.2733432760503",
"Africa Western and Central","AFW","Trade (% of GDP)","NE.TRD.GNFS.ZS","33.0232600987629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.301742600149","103.901229551372","103.579947051466","106.590962129525","94.6251593320477","108.060067893978","121.364708453698","122.446144139295","104.123635308845","99.9825063313368","91.8000973419114","86.8119327587926","79.3329227828897","62.8885160890192","53.3701580675988","52.2568222278462","66.3780133263399","57.8295381183036","65.9420289329872","74.4644985871074","69.6910705054094","67.0416886089289",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.637304878056","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.895444716607","45.4255562530936","48.1375348189415","51.0110303565873","63.454073132628","66.4910240323437","68.5250682234387","67.0205610427628","67.0471873068205","70.8723467754672","74.2670902393052","83.2020801053931","77.4517514962857","75.0949144008056","76.5433902447878","81.218568933066","76.5102006210933","75.8737138467897","75.4078455964825","71.801006339647","74.809862823171","78.1942495319136","75.6940706898154","75.3821602848745","59.5206994403142","75.5903160937554","84.6980639208685","82.4936845982876",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.8036012645839","60.32864064962","63.1549342179207","83.3299082158572","74.6763704953696","83.3351028786331","77.1995049757399","81.6393684906978","79.7766595950124","82.1065520191407","86.3580461199541","88.0971664799861","83.8390719627994","75.6411334810193","71.9677619564653","64.5159503316478","56.867333958745","59.1055196285369","61.0861525150841","65.8896757948273","64.4659893231962","68.0462110972309","63.2233282408702","59.0764854604443","57.6328654261861","61.2393921038288","60.7101284349303","68.7857996487653","67.2894006664274","67.3132185478974","72.0132013903781","73.2257874878296","73.5196699691836","80.1785790851094","84.5068077172055","88.6457164514443","88.9408719600556","92.9395640965946","96.7573478237637","88.7840499830423","85.9001759906563","88.8901259714267","90.5671586850262","89.760745927961","87.6270860493535","83.1196174556935","77.425718168696","80.9033920586847","81.4249328965276","80.9305291724086","75.6918617752705","81.5619817577191","88.9633218366201","90.5657752962819",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.552871642254","119.470669577786","136.798152865771","148.513544025723","153.461944358373","138.892096909526","147.392662015533","159.970470622298","161.100482455799","163.687584999295","169.47623670322","170.976829168087","170.920806880828","159.642777284235","170.06811882535","185.28055243871","186.108932599898","188.945461747377","202.332535998586",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.4926603729179","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846242519","16.942286567935","14.3237963724369","12.8406846411368","11.5456724606844","14.2929774788834","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588891","14.730980586353","16.223151447784","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","30.7625359549926","32.6306150458499","30.203698807416","33.078689567466","31.5477080051071","26.6405121334437",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.429364602262","86.1148570667578","79.2295601199241","78.5477450545048","71.8424518815414","70.5604791440404","72.2333302273367","69.8642663925336","73.9845018432309","80.0513676022426","73.0706339919371","70.1397385835334","61.0301379818566","56.9750470853147","54.5423279613666","57.2742357441995","64.642975973633","69.4355736620453","75.9616759606704","77.5550481598824","75.778866962639","71.6820743427575","76.0779674593548","87.202376539837","92.473107021212","96.1141541288708","69.4888075396076","79.6698888228399","101.41077826094","119.714642963872",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.9375","207.442748091603","202.357563850688","223.2","229.817444219067","218.146718146718","249.821428571429","161.333333333333","157.940663176265","157.543859649123","176.40625","173.824451410658","174.805598755832","162.407132243685","159.165424739195","161.437908496732","171.830985915493","156.568778979907","154.368932038835","136.8","124.684270952928","",
"Antigua and Barbuda","ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.533614122552","130.047089857133","132.018040013227","127.973130855251","130.655152659419","137.625175755884","94.3457201737921","101.122883462968","117.630005076464","",
"Australia","AUS","Trade (% of GDP)","NE.TRD.GNFS.ZS","27.0073432045263","27.3798008534851","26.5276294339198","26.7924920709198","28.6527692814456","28.4383892385962","28.0154205799122","26.7319083183106","26.7383340751138","25.2457715088233","26.152929063025","25.5542070195428","24.7575648738439","25.1314680261732","26.3224160495668","28.9701919838329","26.8629497654441","28.6305285588067","28.1775002617577","29.6236726651116","32.2982750679721","31.6034392228931","30.3246900943933","29.1752457579693","28.5400083297066","32.4883334819514","33.0085289889794","32.5101443607132","32.5649604722381","32.0650048875855","32.1527144597396","32.1891884083095","33.0445567945568","35.3995349245547","36.4588088303684","37.7040452075846","38.2330533547335","37.9808322779409","39.9927024641912","39.0297954188357","40.9352109785505","44.2187044989977","41.4490922022193","40.2015669125448","37.0096135930442","39.1607469727979","41.5594471705758","42.0080200326348","42.8467764017331","45.7408630288694","40.5215889941287","41.851132029052","43.1642964994556","41.2728790174276","42.4840230270994","41.6639319280984","40.974079475775","42.2037316765804","43.7360650798433","46.1875018936291","44.6644560654359","40.3024802691697","45.8217702307271","49.2251840594381",
"Austria","AUT","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","55.0761193245758","54.5943095175992","54.5095261285031","54.6709598898345","59.8019696552993","56.8216966374891","60.1518898060928","60.5146252146455","59.902619239337","63.5662000173728","67.0877814373936","68.665503986782","64.3692403970828","62.717843835786","66.8367975275057","70.3587487563186","64.2663207365524","63.1008818390388","66.8242938143518","70.8157362192816","71.769481946408","70.3238566862819","67.8961088248008","63.5138270434354","66.246573910845","68.5250057529972","70.4693162982812","75.2444760305554","77.3495216604118","78.5629329772961","85.8426077336549","87.9962567186047","87.5844937054619","86.8822263228608","91.4742201880009","94.6747547827805","98.7857253161241","101.36495843546","102.7437043613","87.6004931021953","99.6448825546716","105.775098372378","105.840791389706","104.985374015367","104.49673998926","103.11758174626","101.573494597172","105.556066755438","108.377969971828","108.207284904426","99.9482141095975","111.032268737901","124.38345148483","116.813919411879",
"Azerbaijan","AZE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0832196452933","86.8637724550898","140.799983402834","133.490445859873","55.3493194555644","85.8937107507733","80.8497401741931","82.0789665326283","77.2278091030634","69.8259648751026","78.5485682796041","78.8151854917601","92.8181443298969","107.551948506262","121.507115894117","115.841884607706","105.262399846369","96.6418081486575","89.2428968637573","74.7440416836369","74.9859884610856","80.5080450059522","78.263069540422","74.6758447629851","69.4832251953347","72.6015079073189","90.0773187345677","90.4023156823216","91.6725765369825","85.8181454084561","72.0178676487811","76.286865687015","86.9822732541779","83.6193503542524",
"Burundi","BDI","Trade (% of GDP)","NE.TRD.GNFS.ZS","25.8928574435131","27.5862079836929","29.5081958920413","21.8045114655597","26.1744966082609","22.8822529667839","23.7683401950761","22.6863662585732","23.662507797879","21.7532896713333","22.3097965544679","22.6074300410872","26.8094131157561","24.3489043362581","25.2873351845382","27.2774163190328","30.379360630475","34.8870291528506","31.9340935865245","36.8847861616734","32.1014455985716","31.1810462057784","37.1194209891435","33.7933398239583","35.056316693605","31.8135215539913","34.0388589004453","35.4835346628137","38.5439533047301","32.6893093927341","35.6481395516768","38.4225604772107","38.2261314127976","36.5429966027968","38.7535235814749","40.2046264145201","21.5737222729","24.2753792298716","27.4400299850075","23.5397452788757","22.5537244890286","20.9640456147222","21.6738294069666","27.3763120796107","31.5761181816532","35.0999988412936","42.4","38.7999987731993","47.1999995814015","35.8000035591914","39.5000053977394","43.0000028373483","43.7053731916201","46.6040790867655","42.995025805263","22.8382834157721","23.0437252570449","22.2402931011977","26.5997024647774","29.0262099997889","26.773329999595","28.8186599995439","28.315320358729","29.5932478695071",
"Belgium","BEL","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","87.7273019754199","85.5840807687108","85.2144387292793","94.1440940214668","105.271077601296","91.5237486786852","96.8157584257173","95.6775227443742","92.3126039376739","101.572970541061","103.055447784319","110.221352145195","117.925349546572","120.395562511556","128.230735025444","123.876986090012","112.327024533852","109.919099925859","116.422946593266","124.936932679633","121.467851074465","118.59013771799","115.069287501636","109.012736996759","113.232300033612","116.378567821327","119.212775757383","125.68894005618","124.709122626318","125.169990540949","142.230135067034","139.576839834619","136.085149488081","132.715552833888","136.918405348432","144.529050669983","149.567509299511","152.468446875303","161.088447790447","135.13840572229","150.162563621427","160.765516888126","160.383301425059","157.573622782434","158.571610953523","155.068682045926","159.057696611945","166.904078237791","168.277692877218","165.46547893199","156.950121282783","177.390305424732","191.996289195725","168.927603708475",
"Benin","BEN","Trade (% of GDP)","NE.TRD.GNFS.ZS","18.2341998166072","14.1181216852278","13.4771276576628","15.447259020027","17.3805034251725","22.1732736350777","23.0426078397633","27.4380883208416","28.4112293667841","33.2017249500644","39.6379034467417","45.6184127164884","41.1845516067007","41.6121426133332","43.8114045020463","47.9412279615522","44.0197577086964","50.9596855186593","51.0704526504407","54.5381681535616","53.1386195994861","59.8893720979652","57.8573353739462","45.3420118908271","50.5113034919755","60.3012179781571","49.2914176982042","46.2181352147978","45.8868280290306","38.3003673589405","45.7201821451396","51.3447168355486","56.7407458048553","55.3817991336605","64.4004792535565","63.800140010475","56.5177914456367","58.7116296113966","59.5936252981433","54.3917891538957","47.3481515012844","48.2571706392197","43.7684225364311","41.6162305574334","39.9029743365096","39.0959311879142","39.7746987128551","49.1137841529705","47.7753592695169","44.7026290629806","51.4308599492924","47.2170288118403","50.7367367791134","59.2001918331875","65.2682749404551","56.7563131849476","58.9869283378276","61.4765969588474","61.7951944903448","63.68133231423","44.8332333768726","48.0548608324409","50.93352007034","51.3504650113905",
